-1,500000000
0,497881802
1,496913181
2,495720151
3,494273663
4,492551558
5,490524575
6,488174872
7,485485707
8,482438770
9,479021619
10,475220696
11,471027933
12,466429415
13,461424409
14,456014257
15,450198117
16,443985338
17,437387646
18,430410279
19,423057177
20,415345440
21,407296699
22,398923072
23,390251339
24,381297874
25,372094907
26,362664937
27,353033463
28,343230880
29,333291181
30,323238833
31,313091434
32,302883358
33,292644833
34,282406803
35,272192068
36,262024985
37,251929631
38,241935668
39,232056740
40,222303877
41,212700988
42,203265149
43,194011701
44,184966028
45,176129679
46,167521254
47,159156382
48,151036802
49,143165264
50,135556570
51,128210847
52,121124037
53,114301844
54,107748817
55,101460454
56,95440914
57,89683550
58,84194322
59,78962403
60,73978506
61,69234150
62,64731185
63,60457025
64,56408349
65,52575662
66,48956467
67,45537916
68,42318248
69,39289380
70,36440187
71,33766877
72,31258711
73,28910693
74,26711269
75,24657117
76,22738454
77,20950994
78,19284617
79,17736191
80,16297275
81,14961505
82,13725182
83,12579613
84,11519256
85,10537520
86,9629354
87,8792161
88,8020279
89,7308560
90,6654826
91,6053567
92,5501458
93,4996592
94,4534682
95,4112064
96,3725582
97,3372385
98,3050149
99,2755526
100,2487876
101,2244702
102,2023356
103,1822535
104,1640134
105,1475318
106,1326257
107,1190871
108,1068809
109,958293
110,858211
111,767788
112,685971
113,612791
114,547056
115,488083
116,435366
117,388281
118,346084
119,308891
120,275696
121,246060
122,219859
123,196420
124,175557
125,157072
126,140351
127,125319
128,112311
129,100658
130,90225
131,80825
132,72321
133,64718
134,57880
135,51858
136,46512
137,41728
138,37437
139,33596
140,30230
141,27206
142,24521
143,22126
144,19963
145,18121
146,16447
147,14991
148,13710
149,12581
150,11596
151,10655
152,9800
153,8965
154,8233
155,7558
156,6936
157,6359
158,5874
159,5442
160,5023
161,4618
162,4226
163,3903
164,3606
165,3289
166,3050
167,2836
168,2603
169,2398
170,2203
171,2030
172,1852
173,1690
174,1526
175,1389
176,1279
177,1141
178,974
179,828
180,693
181,584
182,491
183,394
184,310
185,229
186,175
187,145
188,115
189,87
190,58
191,35
192,19
193,6
194,1
